subjects,average,std.dev
04_cubeQuant_1_orig_map_exp_aligned.mha,53.05,31.25
04_cubeQuant_1_orig_map_exp_aligned.mha,54.27,31.41
04_cubeQuant_1_orig_map_exp_aligned.mha,47.46,14.91
04_cubeQuant_1_orig_map_exp_aligned.mha,53.5,41.3
